subject,subset,quantum_rest,padic_entropy_rest,quantum_task,padic_entropy_task
subject_2,subset_1,-3381482932.390481,2.5962638073884037,-3537125958.0792284,2.64467608825407
subject_3,subset_1,-7354620112.639448,2.6171418568765885,-5365968758.526209,2.6583999052534604
subject_4,subset_1,-1361391872.2257986,1.1919817315050119,-1906462304.3621976,1.22804832110851
subject_5,subset_1,-563385640266.7737,2.5764194001975342,-45522057464.62263,2.617094981137126
subject_6,subset_1,-1181966985367.0266,2.4851869039435908,-393789232412.3617,2.7259315910162707
subject_7,subset_1,-2215911936203.595,2.590264313386339,-853414956190.3531,2.728194102615874
subject_8,subset_1,-1349974844564.9521,2.659122118331643,-406098870947.4307,2.7579361619563167
subject_9,subset_1,-1564540819747.3926,2.726347153943235,-245511042406.86963,2.700114161653867
subject_10,subset_1,-1189797934145.7559,2.4366503688247367,-36381065291.10009,2.750224311285395
subject_11,subset_1,-4038076426020.7876,2.5177619573098533,-12843205299.780054,2.5587570829628032
subject_12,subset_1,-10984560590744.367,2.2105961041034585,-23395957886.036526,2.3936894794528345
subject_13,subset_1,-7309818459368.239,2.504017480422338,-13224632372.582273,2.725638267881275
subject_14,subset_1,-2394715287000.631,2.5529202593431104,-24662786288.21467,2.719587989932848
subject_15,subset_1,-3991508368181.5015,2.343256941913856,-472752725528.7989,2.7482333971088906
subject_16,subset_1,-1995217003665.3728,2.560983781074436,-22697604312.119476,2.7881826371365364
subject_17,subset_1,-1429124161506.8594,2.4235639779887177,-9881213474.237177,2.742592838425089
subject_18,subset_1,-8257377667216.9795,2.527218508087325,-15862840287.079132,2.7104102427743006
subject_19,subset_1,-2209169966139.6523,2.6622383340194262,-150632989514.94815,2.758133263105734
subject_20,subset_1,-2053763027681.791,2.6983761480655066,-25433878590.769817,2.645918464176875
subject_21,subset_1,-3231794813683.867,2.7751342108266503,-29067730259.59041,2.8040856049172143
subject_22,subset_1,-2133360266043.7551,2.536478794537958,-5074483988.788949,2.699480762103967
subject_23,subset_1,-2951215238134.0806,2.593784738865341,-152929322259.42603,2.735078618710246
subject_24,subset_1,-7053741463685.124,2.333775434281192,-14446568656.577526,2.477732102984458
subject_25,subset_1,-3059331293877.9575,2.488635788924169,-86966723481.46573,2.5056504158603508
subject_26,subset_1,-4853869322133.425,2.3372474851251126,-55176883030.39281,2.522015688161252
subject_27,subset_1,-4259146178970.379,2.544146493145761,-267513875845.20734,2.5154454478219765
subject_28,subset_1,-6404140395422.902,2.566368619461745,-1226461779548.4277,2.7550432215064182
subject_29,subset_1,-1856086852810.9258,2.7337526143769395,-706842530795.6846,2.7492257749157
subject_30,subset_1,-3878100120767.809,2.3613524985087206,-97489113295.34926,2.5066657833431356
subject_31,subset_1,-1364528923826.1562,2.3971164450057376,-835152938720.6831,2.539206789927581
subject_33,subset_1,-2083174754623.243,2.6602756053424117,-48352800606.74726,2.670615546285928
subject_34,subset_1,-3898828551118.187,2.660859873551075,-51893095309.338776,2.7052410456382043
subject_35,subset_1,-159242081381.53275,2.8014724163455695,-1291799611132.477,2.5917607947732946
subject_36,subset_1,-114374201713.18013,2.714792836645298,-98584095714.32169,2.663420911453028
subject_37,subset_1,-1829743009985.38,2.7556150720973407,-122638888788.28008,2.719909137843578
subject_38,subset_1,-740218584675.1475,2.7757023010739275,-66131870977.84275,2.738081111850647
subject_39,subset_1,-3604513618856.104,2.599457900956302,-107714421438.16762,2.663034747237611
subject_40,subset_1,-2061217859879.0264,2.7146243286876057,-66521662526.87489,2.7354696191793226
subject_41,subset_1,-1629700136989.557,2.764737974119855,-47584195034.339096,2.744821100613659
subject_42,subset_1,-285959047567.22815,2.780800540635029,-41886204113.523964,2.78909669817124
subject_43,subset_1,-5127470615851.243,2.6890061271019903,-22281329171.925293,2.7925125885020226
subject_44,subset_1,-314219020039.538,2.6448533977093747,-928442708208.3055,2.5688887210042926
subject_45,subset_1,-2529493951168.331,2.6896302244307173,-2199324076787.7437,2.712677932301039
subject_46,subset_1,-8089812655477.437,2.7754007965500143,-2060972495157.3918,2.712190024383381
subject_47,subset_1,-3867199617552.432,2.7595265988802797,-67181134670.62687,2.774689392717005
subject_48,subset_1,-1012918589758.6761,2.683225625136393,-291107690629.3846,2.661886724315858
subject_49,subset_1,-1309286054252.699,2.7476847543972642,-56212865456.87414,2.554364150226176
subject_50,subset_1,-4616290785387.375,2.5595665450336615,-198202217523.34555,2.535661337415539
subject_51,subset_1,-4594790338536.155,2.2799654929155206,-585346639529.4261,2.15026045895158
subject_52,subset_1,-11720959743331.955,2.39530152774683,-4977646786970.703,2.5475076473834246
subject_53,subset_1,-430970465521.8038,2.5223596758300832,-94758911102.5723,2.2069785204380894
subject_54,subset_1,-1183575781695.4705,2.3347757508410125,-716322966640.3339,2.478010665006879
subject_55,subset_1,-282257815763.47766,2.4018268255184876,-361220255686.8695,2.4999691476453174
subject_56,subset_1,-7559046889927.231,2.4900211347250583,-728007367687.973,2.658276150127144
subject_57,subset_1,-1722551143886.0928,2.7264383507032868,-185691586730.75305,2.5218587819574974
subject_58,subset_1,-2499608308648.4126,2.6324557387347167,-278905535418.0831,2.5307179838139158
subject_59,subset_1,-3219340834859.178,2.7639653206581833,-7834660363.000163,2.7525704002892732
subject_60,subset_1,-2077843659988.6328,2.7551118085138113,-42381699101.37403,2.5943378854278887
subject_61,subset_1,-10235661007752.232,2.7361749103927284,-236810258346.1847,2.6722305208008446
subject_62,subset_1,-2294504200754.6353,2.7337277465365584,-61277214395.338585,2.8010471664969714
subject_64,subset_1,-1712575240886.4988,2.384130309092424,-45292315021.110405,2.603659511878403
subject_65,subset_1,-2100905316513.778,2.6274582191816487,-274856097808.43317,2.6429389765693667
subject_66,subset_1,-359385064355.69727,2.737478496616494,-20576039924.11542,2.749351738681862
subject_68,subset_1,-1159386360527.0369,2.685554872854905,-687607647549.0916,2.6102041532232203
subject_69,subset_1,-1598249349646.814,2.6088684305260093,-19553731604.866264,2.5175197542514214
subject_70,subset_1,-1282590196580.6558,2.621444592108346,-11723820196.94012,2.4608238302564747
subject_71,subset_1,-1725706981422.9253,2.4435606901839564,-453974105946.506,2.664284023395892
subject_72,subset_1,-1421141043605.491,2.538706218069254,-22823269871.78612,2.5210135284820976
subject_73,subset_1,-1828265088871.3005,2.5124614426764698,-9686095048.349293,2.64059078891749
subject_74,subset_1,-3151726437348.7876,2.5334610482143956,-82360015756.96234,2.6289388875249067
subject_75,subset_1,-128752242415600.42,2.692053519999022,-16390583060.77636,2.714074413893974
subject_76,subset_1,-2039092287359.0886,2.6425499249849405,-25408576790.976788,2.681587444514723
subject_77,subset_1,-1798518104759.6619,2.537250062087847,-82525462981.2268,2.4380484392203265
subject_78,subset_1,-305582790074.1074,2.6254117938062875,-12382188710.133543,2.4783700368605652
subject_79,subset_2,-142542204644.79312,2.5663059982777194,-1416317391492.546,2.9049152741641
subject_80,subset_2,-27399415443736.918,2.1829424454299207,-1223649338895.4834,2.80958941680432
subject_81,subset_2,-33326932556405.188,2.039804574786955,-4611995974666.745,2.668724834425426
subject_82,subset_2,-888441157326.0841,2.7481280689555425,-10679247175913.256,2.8551806749320074
subject_83,subset_2,-11869803700461.768,2.4086752161799043,-1706579730235.2515,2.9341727622167655
subject_84,subset_2,-11123130391421.371,2.6651928819613397,-6437139118187.528,2.915840123195846
subject_85,subset_2,-7055632046470.537,2.795636644594084,-3905567101416.5684,2.860866007277127
subject_86,subset_2,-18715431934016.418,2.4645704314334647,-12111407042655.373,2.90906693744528
subject_87,subset_2,-2706552327042.806,2.7339977332189047,-1617628366762.1367,2.792189955474976
subject_88,subset_2,-3765396134134.091,2.714136276082727,-2357477543204.9624,2.7391602138682316
subject_89,subset_2,-1759552490799.6838,2.928169368701822,-5887337454908.269,2.877860699551574
subject_90,subset_2,-12289855722748.611,2.3818639197502374,-3946607634221.0913,2.840114149192572
subject_91,subset_2,-4482163203179.649,2.74762549175319,-19293835805923.527,2.8384506734199024
subject_92,subset_2,-1424146791831.265,2.5752045601643165,-747866887369.1967,2.5490548676887483
subject_93,subset_2,-5409204451724.314,2.591152092636917,-12883149941691.467,2.5797915311112765
subject_94,subset_2,-12664060120258.93,2.506462730362644,-5073055239734.093,2.831833676252025
subject_96,subset_2,-61343450863767.05,1.420273951258354,-34933885162201.676,2.5619707826802043
subject_97,subset_2,-23313777596852.223,2.3098659492852534,-5233960995712.374,2.8975223735143074
subject_98,subset_2,-1731424012006.4565,2.783297620163537,-3074824767394.3135,2.7565340229743445
subject_99,subset_2,-1637954986952.5034,2.7886548120868824,-4568025893306.058,2.838320657694194
subject_104,subset_2,-14129683928849.186,2.576322880302046,-9573242354610.324,2.8445284057886226
subject_107,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_109,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_112,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_113,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_114,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_115,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_117,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_118,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_119,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_121,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_122,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_123,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_124,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_125,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_126,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_127,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_128,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_129,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_130,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_131,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_132,subset_2,-3300552257526.385,2.2888785877140276,-1584872092804.6726,2.468903497999557
subject_133,subset_2,-10177105955512.059,1.7779867097736364,-736330230840.0868,2.5783249788607976
subject_134,subset_2,-7967350584879.772,1.8483643414965811,-3029254671082.3647,2.613790328037027
subject_135,subset_2,-20016137315744.176,1.9924864788657877,-256808523162.3112,2.2377225742982763
subject_136,subset_2,-15366734806740.055,1.8780596878932974,-498253158397.35016,2.5315723171065962
subject_139,subset_2,-3663454389406.7505,2.2963945364772718,-3215927153379.3916,2.8756386345745164
subject_141,subset_2,-34676738944565.395,1.8944492685620937,-2063515849544.1401,2.696528737343646
subject_142,subset_2,-141630658515195.25,1.8290595428475573,-608162971227.6763,2.579100693666244
subject_151,subset_2,-379926643701378.7,2.031789079199734,-27176902973340.992,2.810692204499085
subject_152,subset_2,-28935369548428.645,2.4604641653241033,-11722546333340.096,2.8186965934496224
subject_153,subset_2,-118900805493.09697,2.6630523307808773,-241742300832.9064,2.503687361308202
subject_154,subset_2,-288925348431.88324,2.5026485532036733,-2008116861760.2344,2.6327076362902426
subject_155,subset_2,-260153330206.70642,2.6795420062149478,-211525929166.53888,2.6485948273688704
subject_157,subset_2,-33176063329904.492,1.795313421905779,-22181263216765.7,2.5447626736302764
subject_158,subset_2,-43615591486082.45,1.7559227140564058,-501513534443.2438,2.6663364013373907
subject_159,subset_2,-35552645502268.914,1.8240392787911068,-20950228500087.414,2.6858375339252962
